nct_id,classification,status
NCT00840866,0,from_previous_run
NCT04042077,1,from_previous_run
NCT03322540,0,from_previous_run
NCT01754259,1,from_previous_run
NCT01736865,1,from_previous_run
NCT01730118,1,from_previous_run
NCT04461483,1,from_previous_run
NCT03897348,1,from_previous_run
NCT04677660,1,from_previous_run
NCT00879658,1,from_previous_run
NCT03168464,1,from_previous_run
NCT00789672,1,from_previous_run
NCT02952898,1,from_previous_run
NCT02752087,1,from_previous_run
NCT02341495,1,from_previous_run
NCT03565068,1,from_previous_run
NCT00612573,0,from_previous_run
NCT00741273,1,from_previous_run
NCT00776100,1,from_previous_run
NCT04176133,1,from_previous_run
NCT03925324,-1,from_previous_run
NCT03642067,1,from_previous_run
NCT02613169,1,from_previous_run
NCT00818961,1,from_previous_run
NCT04504032,0,from_previous_run
NCT02063698,0,from_previous_run
NCT00181961,1,from_previous_run
NCT03950674,0,from_previous_run
NCT04318548,1,from_previous_run
NCT02532231,1,from_previous_run
NCT01143246,1,from_previous_run
NCT04155203,1,from_previous_run
NCT01989546,1,from_previous_run
NCT02961881,1,from_previous_run
NCT04139122,1,from_previous_run
NCT00528437,1,from_previous_run
NCT01079936,1,from_previous_run
NCT00784693,0,from_previous_run
NCT01570348,1,from_previous_run
NCT00888134,1,from_previous_run
NCT00326170,1,from_previous_run
NCT00199901,1,from_previous_run
NCT02682784,1,from_previous_run
NCT02997202,0,from_previous_run
NCT04162873,-1,from_previous_run
NCT01336972,1,from_previous_run
NCT04461600,1,from_previous_run
NCT00108745,1,from_previous_run
NCT01132755,1,from_previous_run
NCT01721070,1,from_previous_run
NCT03679767,1,from_previous_run
NCT03929757,1,from_previous_run
NCT01284621,0,from_previous_run
NCT03838731,1,from_previous_run
NCT03839823,1,from_previous_run
NCT03963401,0,from_previous_run
NCT01397695,1,from_previous_run
NCT00850759,1,from_previous_run
NCT00254592,1,from_previous_run
NCT00834418,0,from_previous_run
NCT03578965,1,from_previous_run
NCT00730275,1,from_previous_run
NCT00766415,1,from_previous_run
NCT04230213,0,from_previous_run
NCT00310804,1,from_previous_run
NCT00100230,0,from_previous_run
NCT05541939,1,from_previous_run
NCT00759356,1,from_previous_run
NCT04097301,1,from_previous_run
NCT01519284,1,from_previous_run
NCT04439838,1,from_previous_run
NCT00903409,1,from_previous_run
NCT02589522,1,from_previous_run
NCT00220779,0,from_previous_run
NCT02197702,1,from_previous_run
NCT04411914,1,from_previous_run
NCT01194674,0,from_previous_run
NCT00884052,1,from_previous_run
NCT01857934,1,from_previous_run
NCT02430181,1,from_previous_run
NCT00093782,1,from_previous_run
NCT02271984,1,from_previous_run
NCT00276549,1,from_previous_run
NCT01688596,1,from_previous_run
NCT04660799,1,from_previous_run
NCT06180954,-1,from_previous_run
NCT02251431,1,from_previous_run
NCT02178709,1,from_previous_run
NCT00996931,1,from_previous_run
NCT03602053,1,from_previous_run
NCT00902577,0,from_previous_run
NCT02586012,0,from_previous_run
NCT03275350,1,from_previous_run
NCT01230814,0,from_previous_run
NCT00365768,1,from_previous_run
NCT00918879,1,from_previous_run
NCT03061474,0,from_previous_run
NCT01268293,1,from_previous_run
NCT01920854,-1,from_previous_run
NCT01565330,1,from_previous_run
NCT01775904,1,from_previous_run
NCT01246791,1,from_previous_run
NCT03880474,0,from_previous_run
NCT01276327,0,from_previous_run
NCT03311373,1,from_previous_run
NCT04180163,1,from_previous_run
NCT02178436,1,from_previous_run
NCT02991456,0,from_previous_run
NCT03394924,0,from_previous_run
NCT04687137,1,from_previous_run
NCT01717768,1,from_previous_run
NCT03492398,1,from_previous_run
NCT00084682,1,from_previous_run
NCT00742625,1,from_previous_run
NCT02171247,1,from_previous_run
NCT03911401,1,from_previous_run
NCT04466215,0,from_previous_run
NCT01351766,1,from_previous_run
NCT00490555,1,from_previous_run
NCT01998984,0,from_previous_run
NCT00958334,1,from_previous_run
NCT03336450,1,from_previous_run
NCT03440814,0,from_previous_run
NCT00939627,1,from_previous_run
NCT04867785,0,from_previous_run
NCT04786444,1,from_previous_run
NCT02420314,1,from_previous_run
NCT04177108,0,from_previous_run
NCT03824587,1,from_previous_run
NCT01904058,0,from_previous_run
NCT01044862,1,from_previous_run
NCT01967576,1,from_previous_run
NCT00059202,0,from_previous_run
NCT01159431,1,from_previous_run
NCT01666119,1,from_previous_run
NCT03394027,1,from_previous_run
NCT03680092,1,from_previous_run
NCT04016779,1,from_previous_run
NCT01108081,1,from_previous_run
NCT00045734,1,from_previous_run
NCT01317940,1,from_previous_run
NCT00708123,1,from_previous_run
NCT00988169,1,from_previous_run
NCT00316303,0,from_previous_run
NCT01419236,0,from_previous_run
NCT01575275,1,from_previous_run
NCT01249872,1,from_previous_run
NCT00030264,1,from_previous_run
NCT03954158,1,from_previous_run
NCT02952924,1,from_previous_run
NCT00710840,0,from_previous_run
NCT03538951,1,from_previous_run
NCT05764239,0,from_previous_run
NCT03168022,1,from_previous_run
NCT00626743,1,from_previous_run
NCT00505076,0,from_previous_run
NCT02722239,1,from_previous_run
NCT04910165,0,from_previous_run
NCT02463799,1,from_previous_run
NCT03186638,0,from_previous_run
NCT03264404,1,from_previous_run
NCT04664959,1,from_previous_run
NCT04631016,0,from_previous_run
NCT00793793,1,from_previous_run
NCT00774202,1,from_previous_run
NCT02190747,0,from_previous_run
NCT03931408,1,from_previous_run
NCT00096200,1,from_previous_run
NCT03053440,0,from_previous_run
NCT01660022,1,from_previous_run
NCT04101331,0,from_previous_run
NCT03389750,1,from_previous_run
NCT02620865,1,from_previous_run
NCT03673956,1,from_previous_run
NCT04687072,0,from_previous_run
NCT03654326,0,from_previous_run
NCT00621985,0,from_previous_run
NCT02340338,1,from_previous_run
NCT00935311,1,from_previous_run
NCT03409744,1,from_previous_run
NCT00828568,1,from_previous_run
NCT01014143,1,from_previous_run
NCT00919854,1,from_previous_run
NCT02549339,1,from_previous_run
NCT03725384,1,from_previous_run
NCT01783041,0,from_previous_run
NCT03274687,0,from_previous_run
NCT04187833,1,from_previous_run
NCT03484923,1,from_previous_run
NCT02475837,1,from_previous_run
NCT04732221,0,from_previous_run
NCT00844649,1,from_previous_run
NCT03173547,1,from_previous_run
NCT00759655,1,from_previous_run
NCT01205035,1,from_previous_run
NCT00766116,1,from_previous_run
NCT03368196,1,from_previous_run
NCT01950039,1,from_previous_run
NCT04611789,1,from_previous_run
NCT00802880,1,from_previous_run
NCT00790296,1,from_previous_run
NCT04026009,-1,from_previous_run
NCT01487954,1,from_previous_run
NCT01454830,0,from_previous_run
NCT02059265,1,from_previous_run
NCT00004412,1,from_previous_run
NCT00602836,1,from_previous_run
NCT02435680,1,from_previous_run
NCT01068262,1,from_previous_run
NCT01703117,1,from_previous_run
NCT05467293,1,from_previous_run
NCT03595553,1,from_previous_run
NCT04884191,1,from_previous_run
NCT01875445,1,from_previous_run
NCT00951379,1,from_previous_run
NCT01362790,1,from_previous_run
NCT04006145,1,from_previous_run
NCT02037529,1,from_previous_run
NCT05382104,1,from_previous_run
NCT03640559,1,from_previous_run
NCT03116152,1,from_previous_run
NCT03047395,1,from_previous_run
NCT02648438,1,from_previous_run
NCT03721328,1,from_previous_run
NCT02973516,1,from_previous_run
NCT00799058,1,from_previous_run
NCT03135262,1,from_previous_run
NCT02996110,1,from_previous_run
NCT05375929,1,from_previous_run
NCT00165776,1,from_previous_run
NCT02124122,1,from_previous_run
NCT02172742,1,from_previous_run
NCT00001305,1,from_previous_run
NCT02296853,1,from_previous_run
NCT03611556,0,from_previous_run
NCT05694533,1,from_previous_run
NCT00754572,1,from_previous_run
NCT03050450,1,from_previous_run
NCT00957242,0,from_previous_run
NCT02287311,1,from_previous_run
NCT00721188,1,from_previous_run
NCT02837029,1,from_previous_run
NCT05177770,0,from_previous_run
NCT01454076,1,from_previous_run
NCT03709654,1,from_previous_run
NCT03977454,0,from_previous_run
NCT00836433,1,from_previous_run
NCT03945175,1,from_previous_run
NCT04808908,1,from_previous_run
NCT02317575,1,from_previous_run
NCT05225805,1,from_previous_run
NCT01474993,1,from_previous_run
NCT01979211,1,from_previous_run
NCT01904721,1,from_previous_run
NCT03220035,1,from_previous_run
NCT02185729,1,from_previous_run
NCT00833261,1,from_previous_run
NCT01135069,1,from_previous_run
NCT04570670,1,from_previous_run
NCT04592419,1,from_previous_run
NCT03866577,1,from_previous_run
NCT04145700,0,from_previous_run
NCT01290224,0,from_previous_run
NCT00910663,0,from_previous_run
NCT03824704,-1,from_previous_run
NCT00602420,1,from_previous_run
NCT00438256,1,from_previous_run
NCT01042236,0,from_previous_run
NCT03482635,1,from_previous_run
NCT02628444,1,from_previous_run
NCT00944710,0,from_previous_run
NCT01238120,0,from_previous_run
NCT03829618,1,from_previous_run
NCT00119379,1,from_previous_run
NCT00138424,1,from_previous_run
NCT04064411,1,from_previous_run
NCT00354432,0,from_previous_run
NCT02101112,1,from_previous_run
NCT03249792,-1,from_previous_run
NCT00821821,1,from_previous_run
NCT00551369,1,from_previous_run
NCT00789776,1,from_previous_run
NCT05525910,1,from_previous_run
NCT00903331,0,from_previous_run
NCT00938431,1,from_previous_run
NCT01157182,0,from_previous_run
NCT02831283,1,from_previous_run
NCT03219476,1,from_previous_run
NCT00565266,1,from_previous_run
NCT05253807,1,from_previous_run
NCT02477332,1,from_previous_run
NCT04439253,1,from_previous_run
NCT04800315,0,from_previous_run
NCT04774380,1,from_previous_run
NCT05155085,0,from_previous_run
NCT05033561,1,from_previous_run
NCT03211416,1,from_previous_run
NCT04573322,1,from_previous_run
NCT00006244,1,from_previous_run
NCT03850691,1,from_previous_run
NCT00794144,1,from_previous_run
NCT03248479,0,from_previous_run
NCT03137121,1,from_previous_run
NCT00035932,0,from_previous_run
NCT01374490,1,from_previous_run
NCT00758290,0,from_previous_run
NCT04662073,0,from_previous_run
NCT04071756,1,from_previous_run
NCT03809611,0,from_previous_run
NCT04431726,1,from_previous_run
NCT00787787,1,from_previous_run
NCT00736476,1,from_previous_run
NCT04060147,0,from_previous_run
NCT03132636,1,from_previous_run
NCT00509002,1,from_previous_run
NCT00986570,1,from_previous_run
NCT00637806,1,from_previous_run
NCT02161705,1,from_previous_run
NCT01743027,1,from_previous_run
NCT00809848,1,from_previous_run
NCT02248597,1,from_previous_run
NCT01001195,1,from_previous_run
NCT02229084,1,from_previous_run
NCT04362085,1,from_previous_run
NCT00565773,1,from_previous_run
NCT00824265,1,from_previous_run
NCT01930045,0,from_previous_run
NCT01863745,1,from_previous_run
NCT01902134,1,from_previous_run
NCT00779467,1,from_previous_run
NCT03199963,1,from_previous_run
NCT01691430,1,from_previous_run
NCT00876915,0,from_previous_run
NCT00428597,1,from_previous_run
NCT03414658,0,from_previous_run
NCT03545165,1,from_previous_run
NCT03837743,0,from_previous_run
NCT02733185,1,from_previous_run
NCT01121211,1,from_previous_run
NCT02182687,1,from_previous_run
NCT04507126,1,from_previous_run
NCT02039219,0,from_previous_run
NCT04784091,1,from_previous_run
NCT01370083,1,from_previous_run
NCT00840827,0,from_previous_run
NCT00879619,1,from_previous_run
NCT02741310,0,from_previous_run
NCT03274453,1,from_previous_run
NCT00072410,1,from_previous_run
NCT00821964,1,from_previous_run
NCT01328184,0,from_previous_run
NCT01682135,1,from_previous_run
NCT00496340,1,from_previous_run
NCT02303977,1,from_previous_run
NCT00796315,1,from_previous_run
NCT03547271,1,from_previous_run
NCT01536093,1,from_previous_run
NCT04264819,1,from_previous_run
NCT00466817,1,from_previous_run
NCT03664544,1,from_previous_run
NCT01630811,1,from_previous_run
NCT03189719,1,from_previous_run
NCT00975221,1,from_previous_run
NCT02097134,1,from_previous_run
NCT05041062,1,from_previous_run
NCT00914732,0,from_previous_run
NCT04829214,1,from_previous_run
NCT00065156,1,from_previous_run
NCT00006478,1,from_previous_run
NCT04757376,0,from_previous_run
NCT01074216,1,from_previous_run
NCT00837330,1,from_previous_run
NCT03580356,0,from_previous_run
NCT00702650,1,from_previous_run
NCT05408663,1,from_previous_run
NCT02112552,1,from_previous_run
NCT01005355,1,from_previous_run
NCT04803305,1,from_previous_run
NCT02935634,1,from_previous_run
NCT02667639,1,from_previous_run
NCT03527173,0,from_previous_run
NCT01154192,1,from_previous_run
NCT01319773,1,from_previous_run
NCT00942851,1,from_previous_run
NCT02204579,1,from_previous_run
NCT04470050,1,from_previous_run
NCT03568162,0,from_previous_run
NCT01689779,1,from_previous_run
NCT02188459,1,from_previous_run
NCT02953548,1,from_previous_run
NCT01429454,0,from_previous_run
NCT00619684,1,from_previous_run
NCT02282514,1,from_previous_run
NCT00101933,1,from_previous_run
NCT03293654,1,from_previous_run
NCT03519867,1,from_previous_run
NCT00884910,1,from_previous_run
NCT01849068,1,from_previous_run
NCT00702715,1,from_previous_run
NCT01377480,1,from_previous_run
NCT00659425,-1,from_previous_run
NCT01079832,1,from_previous_run
NCT00838929,1,from_previous_run
NCT03175978,-1,from_previous_run
NCT03701399,0,from_previous_run
NCT02234570,1,from_previous_run
NCT03510715,1,from_previous_run
NCT03333486,1,from_previous_run
NCT01348269,1,from_previous_run
NCT03893825,1,from_previous_run
NCT00305344,1,from_previous_run
NCT00592124,1,from_previous_run
NCT04032158,1,from_previous_run
NCT00023673,1,from_previous_run
NCT02460224,1,from_previous_run
NCT04680975,0,from_previous_run
NCT04203498,-1,from_previous_run
NCT04698915,0,from_previous_run
NCT05233085,1,from_previous_run
NCT02418845,1,from_previous_run
NCT04927884,0,from_previous_run
NCT05288283,-1,from_previous_run
NCT05044325,-1,from_previous_run
NCT00004500,0,from_previous_run
NCT01353976,1,from_previous_run
NCT02015819,1,from_previous_run
NCT00812838,0,from_previous_run
NCT00898677,1,from_previous_run
NCT01486810,1,from_previous_run
NCT00969150,0,from_previous_run
NCT02197104,1,from_previous_run
NCT02275338,1,from_previous_run
NCT01979952,1,from_previous_run
NCT01387139,1,from_previous_run
NCT02721069,1,from_previous_run
NCT03901092,1,from_previous_run
NCT00396279,1,from_previous_run
NCT04039503,0,from_previous_run
NCT03575052,1,from_previous_run
NCT00890617,1,from_previous_run
NCT00079677,1,from_previous_run
NCT00620711,1,from_previous_run
NCT00397891,1,from_previous_run
NCT04408963,1,from_previous_run
NCT01663272,1,from_previous_run
NCT02599324,1,from_previous_run
NCT00513474,1,from_previous_run
NCT04753437,1,from_previous_run
NCT05637515,1,from_previous_run
NCT02332928,0,from_previous_run
NCT04839146,1,from_previous_run
NCT02924727,0,from_previous_run
NCT04359654,1,from_previous_run
NCT04525885,0,from_previous_run
NCT03287050,1,from_previous_run
NCT03349034,1,from_previous_run
NCT02649439,0,from_previous_run
NCT01642485,1,from_previous_run
NCT02351856,1,from_previous_run
NCT02711826,0,from_previous_run
NCT03921424,1,from_previous_run
NCT00965523,1,from_previous_run
NCT00492401,1,from_previous_run
NCT02992743,1,from_previous_run
NCT02593396,1,from_previous_run
NCT03047993,1,from_previous_run
NCT00971425,1,from_previous_run
NCT02770820,-1,from_previous_run
NCT00855218,0,from_previous_run
NCT00837824,1,from_previous_run
NCT00114530,1,from_previous_run
NCT00925782,1,from_previous_run
NCT02527265,1,from_previous_run
NCT01449812,-1,from_previous_run
NCT05413668,1,from_previous_run
NCT04046848,1,from_previous_run
NCT02653872,1,from_previous_run
NCT01199705,1,from_previous_run
NCT01186809,1,from_previous_run
NCT03524118,1,from_previous_run
NCT00924469,1,from_previous_run
NCT05013905,1,from_previous_run
NCT00800254,0,from_previous_run
NCT04565327,1,from_previous_run
NCT04393454,1,from_previous_run
NCT02903511,1,from_previous_run
NCT00393094,1,from_previous_run
NCT03446846,1,from_previous_run
NCT01290822,-1,from_previous_run
NCT02438358,1,from_previous_run
NCT03700320,1,from_previous_run
NCT04286867,1,from_previous_run
NCT00752609,1,from_previous_run
NCT00837577,1,from_previous_run
NCT01852825,1,from_previous_run
NCT04339413,0,from_previous_run
NCT01333475,1,from_previous_run
NCT04821063,1,from_previous_run
NCT00376168,0,from_previous_run
NCT02334813,1,from_previous_run
NCT00330421,1,from_previous_run
NCT03136198,1,from_previous_run
NCT05005351,1,from_previous_run
NCT00642642,1,from_previous_run
NCT02904954,1,from_previous_run
NCT02981303,1,from_previous_run
NCT02853344,1,from_previous_run
NCT01407068,1,from_previous_run
NCT02908074,1,from_previous_run
NCT02611882,1,from_previous_run
NCT03374176,1,from_previous_run
NCT01532414,1,from_previous_run
NCT03907280,1,from_previous_run
NCT03761849,1,from_previous_run
NCT05126303,0,from_previous_run
NCT00845832,1,from_previous_run
NCT00789074,0,from_previous_run
NCT00742170,1,from_previous_run
NCT01608100,0,from_previous_run
NCT01247285,0,from_previous_run
NCT01030575,1,from_previous_run
NCT03856047,0,from_previous_run
NCT03352414,1,from_previous_run
NCT04200365,0,from_previous_run
NCT00775203,1,from_previous_run
NCT01681277,1,from_previous_run
NCT00955253,1,from_previous_run
NCT03315936,1,from_previous_run
NCT02516241,0,from_previous_run
NCT01244503,1,from_previous_run
NCT04115098,1,from_previous_run
NCT01859013,1,from_previous_run
NCT00820898,1,from_previous_run
NCT00552617,1,from_previous_run
NCT03047213,1,from_previous_run
NCT01479374,1,from_previous_run
NCT02873208,1,from_previous_run
NCT03988023,0,from_previous_run
NCT01963260,1,from_previous_run
NCT03037541,1,from_previous_run
NCT02032212,1,from_previous_run
NCT02420912,1,from_previous_run
NCT04201574,1,from_previous_run
NCT02482935,1,from_previous_run
NCT00660699,1,from_previous_run
NCT02524275,0,from_previous_run
NCT01296763,1,from_previous_run
NCT04327661,1,from_previous_run
NCT03893448,1,from_previous_run
NCT00283933,1,from_previous_run
NCT01302847,1,from_previous_run
NCT04218240,1,from_previous_run
NCT03681093,0,from_previous_run
NCT01646645,1,from_previous_run
NCT02953860,1,from_previous_run
NCT03408483,1,from_previous_run
NCT00271609,1,from_previous_run
NCT00773292,1,from_previous_run
NCT04201431,1,from_previous_run
NCT00671437,1,from_previous_run
NCT00757237,1,from_previous_run
NCT00961649,1,from_previous_run
NCT05246111,1,from_previous_run
NCT02429375,1,from_previous_run
NCT03792477,1,from_previous_run
NCT03502616,1,from_previous_run
NCT01113931,0,from_previous_run
NCT01954056,1,from_previous_run
NCT00405912,0,from_previous_run
NCT05780281,1,from_previous_run
NCT02799290,1,from_previous_run
NCT00474851,0,from_previous_run
NCT03725202,1,from_previous_run
NCT04419558,0,from_previous_run
NCT01229176,1,from_previous_run
NCT00330564,1,from_previous_run
NCT03163992,1,from_previous_run
NCT00803244,0,from_previous_run
NCT02536248,1,from_previous_run
NCT03681990,0,from_previous_run
NCT01638559,1,from_previous_run
NCT02887859,1,from_previous_run
NCT00578643,1,from_previous_run
NCT00962065,1,from_previous_run
NCT04616430,1,from_previous_run
NCT01072643,0,from_previous_run
NCT00766090,0,from_previous_run
NCT03450707,0,from_previous_run
NCT00806416,0,from_previous_run
NCT00251745,0,from_previous_run
NCT01982760,1,from_previous_run
NCT00798720,1,from_previous_run
NCT05781490,1,from_previous_run
NCT00973674,0,from_previous_run
NCT01405794,1,from_previous_run
NCT02515656,1,from_previous_run
NCT00944229,1,from_previous_run
NCT02520518,1,from_previous_run
NCT02121834,1,from_previous_run
NCT00834249,0,from_previous_run
NCT02450578,1,from_previous_run
NCT00963859,1,from_previous_run
NCT02179749,0,from_previous_run
NCT03404674,1,from_previous_run
NCT03555149,1,from_previous_run
NCT04007406,0,from_previous_run
NCT04484142,1,from_previous_run
NCT01535040,1,from_previous_run
NCT00551200,1,from_previous_run
NCT02618031,1,from_previous_run
NCT04718961,0,from_previous_run
NCT00198107,1,from_previous_run
NCT03022578,1,from_previous_run
NCT03074318,1,from_previous_run
NCT01435772,1,from_previous_run
