nctid,status,why_stop,label,phase,diseases,icdcodes,drugs,smiless,criteria
NCT00255333,terminated,"
    development of this compound was discontinued.
  ",0,phase 1,['tumors'],"[""['E88.3', 'R97.8', 'C49.A0', 'C49.A1', 'C49.A2', 'C49.A5', 'C49.A3']""]",['inno-105'],['CSCC[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)CC1=CC=C(O)C=C1)C(O)=O'],"[0.16927949424448352, 0.033594603284980956, 0.0367083763528391, 0.04294983032021716, -0.04652358552105408, 0.007107739912201616, -0.03189795877520299, -0.007927082945209095, 0.0012434136564101435, -0.05080175688020152, 0.03987437164525834, -0.021493018663938122, 0.015484560418648787, -0.001885870834509812, 0.024268050369436796, -0.049311039527839995, -0.10950916326636986, 0.03147138105095893, 0.026985297571690586, 0.04584899850526132, -0.04345092048697977, -0.027346182422741894, 0.028643427643642493, -0.047638223429065076, -0.008415705010381183, 0.022410472273946446, -0.018524048777899847, -0.015582242895690702, 0.043067313282088675, -0.012212827144625538, 0.03738054187837774, -0.03672945081912308, -0.03746882366664074, -0.0017828323556741445, 0.03459865429144108, 0.003279748506750809, 0.007967436403804685, 0.0503795569603309, -0.06408459110285483, -0.007273019274177364, -0.006328757271823628, 0.0317399108211746, -0.038572319262595335, -0.00713560322344958, -0.05052408853703165, 0.022913656020246677, 0.0017586832576555478, 0.04261344163305113, 0.010043493591473725, -0.027996550371563705]"
NCT00256334,completed,,0,phase 1,"['colon cancer', 'cancer']","[""['C18.2', 'C18.4', 'C18.6', 'C18.7', 'C18.9', 'D12.2', 'D12.3']"", ""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]",['resveratrol'],['OC1=CC=C(\\C=C\\C2=CC(O)=CC(O)=C2)C=C1'],"[0.02355377227065639, -0.13104677105285809, 0.03269823064428208, 0.038450795140994205, -0.04220567286210808, 0.027848171816096567, 0.04565994953866853, -0.004201442570582056, -0.005398436650838309, 0.003954522626298984, -0.01710634209927423, 0.010119986164522695, -0.04160357653407545, -0.008383263285040429, -0.010333347516789958, 0.037122127140619535, 0.029364371873384677, 0.0013023400800056255, -0.010358072546435499, -0.008412730316899403, -0.0044645904586575885, -0.007777443762919972, 0.0016699171273826484, 0.03186531964134067, -0.02995598736063625, 0.013886267743591538, 0.028366500747022027, -0.008553453086812223, -0.0044464521567270324, 0.016907397117935513, 0.00026185272539594185, 0.025308099419339213, 0.009782419542827393, -0.030250051556430867, -0.011482584066958264, 0.005241022511569148, 0.00796797618731747, -0.0021243416810324896, 0.0037249932372347776, 0.033193769990329344, 0.006490949853335297, -0.04240768093434523, 0.014322698451079936, -0.01979952042014645, 0.005111503954074052, -0.02952403330083983, -0.022093475172007087, -0.00959491940120253, 0.002509320320266309, -0.016550291944331566]"
NCT00256854,completed,,1,phase 3,"['restless legs syndrome', 'restless legs syndrome (rls)']","[""['G25.81']"", ""['G25.81', 'R45.1']""]","['ropinirole ir 1 mg', 'ropinirole ir 2 mg', 'ropinirole ir 1 mg placebo', 'ropinirole ir 2 mg placebo', 'ropinirole cr 2 mg', 'ropinirole cr 3 mg', 'ropinirole cr 2 mg placebo', 'ropinirole cr 3 mg placebo']","['CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1', 'CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1', 'CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1', 'CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1', 'CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1', 'CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1', 'CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1', 'CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1']","[-0.16206346853255127, 0.04196363619665701, 0.0020159480811559214, 0.08125689292240622, 0.09042656045534843, 0.05339330243202121, -0.006538382599133414, 0.05900704171543829, -0.10606067486436913, -0.0159568650043096, 0.007470808502227762, 0.013453127898585406, 0.057907616594638334, 0.009659326415990727, 0.01866820516049958, 0.0005989252472994051, 0.03298217252041003, -0.009696355019774065, -0.010803985531132957, 0.022032549267191365, 0.038884299967166316, 0.002134277535241141, 0.02623583860140029, -0.0445299169943292, -0.001327918239414512, 0.01205636289246807, -0.012660011133681542, 0.04540362943114164, -0.013011525805123856, -0.024021252448147318, 0.04386297396977287, 0.024508613781572246, 0.0055600659036633936, 0.05516388309315935, -0.028482189083150488, -0.042398132387865085, -0.014758545633801662, 0.052953353993942485, 0.016479590273938274, 0.03617635918400196, -0.027235268663475927, -0.06445701874998697, -0.05566312483687136, 0.02480937214338715, 0.03422431145189565, -0.0007523035069217042, 0.017867141656382313, -0.012153489465631962, 0.021624395748548242, 0.014715521465760809]"
NCT00257699,terminated,"
    inadequate recruitment to meet completion date
  ",0,phase 2,"[""crohn's disease""]","[""['K50.90', 'K50.913', 'K50.914', 'K50.911', 'K50.912', 'K50.918', 'K50.919']""]","['metronidazole placebo', 'ciprofloxacin placebo', 'ciprofloxacin', 'metronidazole']","['[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCCC(C)CC)[C@@H](C)O)[C@@H](C)O', 'OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O', 'OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O', '[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCCC(C)CC)[C@@H](C)O)[C@@H](C)O']","[-0.13934835037779372, 0.06026137463767385, 0.12346585956120157, -0.18236302967722812, 0.08045313688167666, 0.023523455401953032, 0.23654046769538634, 0.023202306644761125, -0.06473510940095384, -0.1409996934346138, 0.0840231895571778, 0.018151578392811486, 0.03689402491154916, 0.07994427291193341, 0.01750782391421505, -0.016696330487012242, 0.0384134433106288, 0.04409943821748952, -0.07930181152620133, -0.017890157213497838, 0.10030215157405546, -0.02947011944466029, 0.018989952607085126, -0.09923376907875313, -0.0426961141047507, 0.0644132991944512, 0.0032893269069666233, 0.026615695155592135, 0.08052947892281784, 0.036192863360725955, 0.08343648857494923, -0.02980609037409699, 0.0021402013000355207, -0.01858387479237783, -0.08352313479278214, 0.08220231387346624, -0.017568494893160952, -0.003533751783193079, 0.055054404427515226, 0.03311435623834811, -0.015757451285450273, -0.024955554824215704, -0.007984846766819712, 0.03543174066911203, -0.00582403720757756, 0.0023736207970374832, -0.00867311345151876, 0.0050966886346295375, -0.02126144882467282, -0.01480446490298358]"
NCT00259779,completed,,1,phase 3,['chronic obstructive pulmonary disease'],"[""['J44.9', 'J44.1', 'J44.0']""]","['budesonide/formoterol', 'prednisolone']","['COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1', '[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C']","[-0.08577609005097991, -0.15970140773619085, 0.022604822757935496, -0.054986861355077424, -0.011088858303781658, 0.06377145157868327, 0.12547177802606574, -0.02840358052409836, -0.0509992973086286, -0.00031516472767116334, -0.026751154088423247, -0.16003355130976252, 0.06014294922907655, 0.08546023630117602, -0.02821197108918323, -0.0731301735641618, -0.0573020806018947, -0.033249176905286205, 0.06267727024299648, 0.02319164918548549, -0.07007877926905004, 0.025573345770079657, 0.012235608181032847, 0.12606834282952317, 0.03195306148334341, -0.039582767485102, -0.038786161525499324, 0.008950378396948365, 0.006882823419939413, 0.011426493469031974, -0.04230265986078412, -0.006076660667450698, -0.023070964050149946, 0.01714730138257207, 0.03451921636892763, -0.0338105383900736, -0.03679665598697258, -0.010632999424013332, -0.03364776638765599, 0.039779162355059544, -0.017831830057637162, -0.010162513121939188, -0.01733596550942897, -0.022548092951385892, -0.005940263094705701, 0.012189756747836579, 0.019263130012232614, -0.014951150252377718, 0.020198249060616225, 0.0005892895356690686]"
NCT00260156,completed,,1,phase 3,"['diabetes mellitus, type 2']","[""['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']""]","['vildagliptin', 'placebo']","['CN(C)C(=N)NC(N)=N', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.13978984107002146, -0.13112722464795232, -0.022310368541100148, -0.16071674948925263, -0.06579521335090208, 0.011952594616797199, 0.006561175946128944, 0.0952103026945514, 0.04141347023220722, -0.04352262247258569, 0.05527628114606675, 0.15213018137056453, -0.056930468703511906, 0.0013078786414317074, 0.02321622336086625, -0.11834230059279602, -0.061913825193653314, 0.014288117943426737, 0.059247009301922615, -0.06453281731654563, -0.06299591190611467, 0.016075598738777865, 0.00042457207775113795, 0.053046151932054454, -0.0009011827455533215, -0.06391453028613685, -0.019161155011358427, 0.155925188785135, 0.017825033787838267, -0.11273287843440216, 0.01054758106808357, 0.24309208188539172, 0.04017652969372663, 0.08727484350124831, -0.022177366161326796, 0.005065633710720802, 0.02712859460449658, -0.012352996260655282, 0.00503936927305376, -0.09899821123731627, -0.021403271455011735, 0.07884106875801529, -0.006713319151677768, 0.04241214446555403, 0.05966963616589116, 0.029596241787563128, -0.04086088291529601, 0.08429583459909526, -0.010549120787479277, -0.06083282393511209]"
NCT00260832,completed,,0,phase 3,['acute myeloid leukemia'],"[""['C92.A1', 'C92.A2', 'C92.61', 'C92.62', 'C92.A0', 'C92.60']""]","['cytarabine or supportive care', 'dacogen (decitabine) only']","['ClCCN(CCCl)P1(=O)NCCCO1', 'NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1']","[0.08877787534892372, -0.05938585377902504, 0.020504436303934708, -0.0008960416273170513, -0.022607202163006407, 0.023775670391153948, -0.07325907277454535, -0.11499022819905043, -0.0015965043663749977, -0.07433372523750321, 0.007467956429685378, -0.021301439665909867, 0.056918693221659045, -0.07793887165925248, 0.03860729467209738, -0.09231573884698854, -0.07362582320576855, -0.007493605483095236, 0.014566580504302753, -0.03351578829639422, 0.019675447099606884, -0.03363012603227789, -0.020169935213329035, -0.11198335953110698, 0.06448034075010377, -0.09807717777231681, -0.03288460079475566, -0.07064049565256648, 0.03960203826251376, -0.0088242094906852, 0.031047110706857985, -0.02655423659786882, 0.06595569505927673, -0.007521316974532575, -0.006615194609448499, 0.02726276721817958, -0.08037283974404894, -0.034625134298452334, -0.02581897617638424, 0.06959235733752075, 0.02947195474994545, -0.07189448317934459, 0.09880420068737396, -0.004018930203906148, -0.004501710033902448, 0.020578978617140774, -0.003039466829206744, 0.05111873506728002, 0.09228982378834831, -0.07900388073100614]"
NCT00261326,unknown status,,1,phase 3,"['optic neuritis', 'multiple sclerosis']","[""['H46.8', 'H46.9']"", ""['G35', 'C81.18']""]","['simvastatin', 'placebo']","['CC1=CC(O)=CC(C)=C1Cl', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.07177355298762733, -0.0731327854557509, -0.0035486044304144635, -0.03257346964454001, -0.039949126378851424, -0.0023468806109640298, -0.024717715867152015, -0.024590901825757593, 0.005136797776231875, 0.061365977194846134, 0.041516928021758485, 0.02168484714524164, -0.024493081699427564, 0.017166440381205593, -0.07392845780307487, -0.032294682699753614, 0.02914690349817925, 0.030411751201710756, -0.0029688583415444086, 0.0276179845387896, -0.01814846012319892, 0.021326952575331393, 0.0042805016168723665, 0.013098042732976902, -0.0031148625109945426, -0.021478942919927878, -0.018505715247454597, -0.01624468880764255, -0.026683909954942558, -0.0041352119851963175, 0.021227931510418695, -0.022498433877859967, 0.017887716864919453, -0.0015906525483172726, -0.013610491227672213, -0.04145474768302322, 0.014886769382064327, -0.002898529580846532, 0.012467840238360764, -0.0007296461547907779, 0.016694405473416104, 0.020265866405708176, 0.011480035792041402, -0.025876282321531795, 0.004508874249539423, 0.0014003750206423153, 0.044325164486459734, 0.01643925748892265, 0.0022308250427857815, -0.01512378416317255]"
NCT00262210,completed,,0,phase 2,"[""non-hodgkin's lymphoma""]","[""['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']""]",['cyclophosphamide epirubicin etoposide prednisolone'],['ClCCN(CCCl)P1(=O)NCCCO1'],"[0.1548647754538386, -0.08846688533218795, 0.013088090064048772, -0.12647870593123184, 0.07425370450268276, 0.06091842254530951, -0.10393727995820894, -0.07258615364953873, 0.005750510685264587, -0.058270280642394034, -0.004002562892181016, 0.06943700341967277, 0.03320398530792148, 0.047808132883788775, -0.02565719000254092, 0.0619046757745523, 0.0072158109706530445, -0.052738710878681525, -0.14269166228371222, -0.09121361666123531, -0.12214190110868609, 0.010655341868426368, 0.03405828030223311, 0.018158848682213048, 0.0825856288667085, 0.15212206759919694, -0.00875982030651287, -0.07783361995616106, 0.06151337132542044, -0.02493417744212683, 0.005213987479540888, -0.06080500536023248, -0.030743627508621068, 0.021044612362391257, 0.02827994995673156, 0.040915576826946395, 0.027094457896827157, 0.0036645888038859256, 0.006255223533814791, -0.002692803012375366, -0.0321578182757865, 0.03387231146880521, 0.030127769431788264, -0.011382142494750228, 0.007607237929865474, -0.012541724080189937, -0.05849415623832881, 0.002631041863473055, 0.02540125010450494, -0.047213347513904706]"
NCT00262769,completed,,1,phase 3,"['extrahepatic bile duct cancer', 'gallbladder cancer']","[""['C24.0', 'D13.5']"", ""['C23', 'D37.6']""]","['cisplatin', 'gemcitabine hydrochloride']","['[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC', 'NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F']","[0.34588223411725705, -0.06434456896527245, -0.32072554219832733, -0.0936737589099587, 0.2530807474506218, -0.01937079856282947, 0.05262997361437707, -0.09274446225253137, -0.05250627299350421, 0.03226058492921649, -0.06960366109436353, 0.0644512039124368, -0.062418565892208865, 0.015933566254286623, -0.0023011955733089062, -0.022204569777572156, 0.04452599464866733, 0.004860039504261232, -0.010518431560013137, 0.05107383400132361, -0.03458018285686378, 0.04461251366181845, -0.029522027764263846, -0.029788995551008966, -0.012902659334889993, -0.06571739461499351, -0.05891842474177998, 0.015145628880479007, 0.01149259326124601, -0.02391359735427151, 0.0020846186261980577, -0.01055414221390088, -0.0028293811517109044, -0.03273040018782863, -0.042732928058193176, -0.008993631628644711, -0.013223708359703152, 0.025847904902743656, -0.02421653168118673, -0.009346800788294906, 0.044617499801710744, 0.016481319117084718, -0.01933524799459718, -0.021956360514686406, -0.059060480810287176, 0.03384431670723011, -0.004969043764351447, -0.008706764697331068, -0.006711017372436651, 0.014220799913111749]"
NCT00264550,completed,,1,phase 3,['rheumatoid arthritis'],"[""['M06.9', 'M05.9', 'M06.08', 'M06.00', 'M06.011', 'M06.012', 'M06.019']""]","['golimumab 100 mg', 'golimumab 50 mg', 'methotrexate', 'placebo injection', 'placebo capsules']","['CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O', '[Na+].[Cl-]', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.04799359615008329, 0.05245525156188462, -0.03430978414595045, -0.06494378554980776, -0.03554537701739737, -0.044730373288873124, 0.1342217422176609, 0.0002653632330034468, -0.02329953530805123, -0.09799777824336062, 0.08398516405051917, 0.0666262494162555, 0.042837172063881365, -0.10913773494716325, -0.07595936995761365, 0.0663146585629652, 0.04330722705651554, -0.08525835542335052, 0.008900524827467556, -0.019684794648160413, -0.001527032128427666, -0.04021852900465777, 0.059390334114050855, -0.10344941260244553, 0.08262755402418982, 0.162950898365602, -0.004356671169686105, -0.06629595640145458, -0.10005743074479907, -0.12390990726068049, -0.12048646793352828, 0.041115486928014845, -0.00746020031758437, -0.04200563780883321, -0.003006683911321633, -0.07272863140927409, -0.095989394982296, -0.048728816743131884, -0.02548784839611614, 0.059528466778542774, 0.017161862711693298, 0.04468241331951449, -0.049449407372052424, -0.024034379602271023, 0.0015432148618600649, -0.10555350490353718, 0.01206120824108182, 0.0472128098301807, -0.05478608343747573, -0.0696633177676527]"
NCT00264875,completed,,1,phase 3,"['peripheral neuropathy', 'hiv infections']","[""['G90.09']"", ""['Z21']""]",['pregabalin'],['NCC1(CC(O)=O)CCCCC1'],"[-0.08111737408135845, -0.08841120200816918, 0.050081706607962864, 0.07064490970504253, -0.021851959817857026, 0.05100593318206872, 0.005814881373945693, -0.005862639137659009, -0.04697425269028723, 0.028661167083405027, -0.040978364037335305, 0.08602435586146152, 0.020775532204410103, -0.005088293456150512, 0.019015465082065697, -0.010601915764042558, 0.027592175002392534, -0.017407264909899446, 0.015218887488591303, -0.020800702959494904, -0.022396474102015212, -0.003554734850147482, 0.0025920432401675244, -0.06861016649426636, -0.02055869403924106, -0.00952266391473951, 0.05867164077767702, 0.051491522736424856, -0.002107834354502236, -0.03190368493439311, 0.002088078375269782, 0.020576009059332892, -0.024990406102233288, 0.022917412758023212, -0.009277826023862809, -0.0015399031498665838, 0.003856249812669519, -0.06400351950217736, -0.007485313374887635, -0.0010898230511170643, 0.09196719339336543, -0.05611343673786372, 0.027238941461290123, -0.029416100879206437, 0.0018746485743614462, -0.010004913347194557, 0.031619834503120954, -0.03658569524303875, 0.007268134093261734, 0.007005520309564281]"
NCT00267748,completed,,0,phase 2,"['carcinoma, renal cell']","[""['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']""]","['sunitinib malate continuous daily dosing', 'sunitinib malate schedule 4/2']","['CNC(=O)C1=C(SC2=CC=C3C(NN=C3\\C=C\\C3=CC=CC=N3)=C2)C=CC=C1', 'CNC(=O)C1=C(SC2=CC=C3C(NN=C3\\C=C\\C3=CC=CC=N3)=C2)C=CC=C1']","[0.07536664235456822, -0.08741277366255917, -0.09847608871724725, 0.07461503621125906, -0.08893073300636367, -0.0016923411118881814, 0.06153122483084193, 0.07562269189186836, 0.017655738237886024, -0.005567137724126929, 0.010787264690577511, -0.015437423265247562, -0.017687403728539337, -0.03189663100595824, -0.005611568940460063, -0.012980992905489801, -0.031936968639353164, 0.019820903802010625, 0.01181778025900159, -0.012156556281473649, -0.004773243149338469, -0.04200896861767914, 0.03414519408523649, 0.02185057389853346, -0.051938830161646, 0.040760834442430546, 0.035446914563716195, -0.0013926157705478476, 0.041544806138381365, 0.01750264258772053, 0.018929570939315823, 0.005745175534448299, 0.007092843971531359, 0.0018078502803162983, -0.009652914854414728, 0.013041336222734507, -0.024333106054727847, 0.013648786488081655, -0.031490431963541024, 0.007848577510016944, -0.0071138673087517675, -0.030985472921191037, -0.012822431186664849, 0.027662010317640845, -0.004161437411779745, 0.00245590092816913, -0.02549339607434995, -0.062358831421778026, -0.03326204429484618, 0.03940899481357607]"
NCT00268437,terminated,"
    trial closed early because, during an interim analysis, the primary endpoint fell short.
  ",0,phase 2,['esophageal cancer'],"[""['K22.2', 'K22.81', 'Q39.4', 'P78.83', 'I85.00', 'I85.01', 'I85.10']""]","['carboplatin', 'pemetrexed']","['N[C@@H](CCCNC(N)=N)C(O)=O', '[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]']","[0.23529262290383776, -0.03738712120453334, -0.16519241113151492, -0.06318313042897952, 0.14726293560469067, -0.0153849705925826, -0.01009111977231013, -0.04444903279056846, -0.008574281355381871, 0.046826792059491806, -0.025226334865855772, 0.005639069808745026, -0.019529535600319815, 0.0120640910556194, 0.004822770015037475, -0.03122366292576769, 0.022237638378299885, 0.014863866585972043, -0.01948610443776497, 0.04723502932288644, 0.033044842593504584, 0.00835193382370444, 0.006691157473357745, 0.060377656139735926, -0.052128237271979905, 0.01670698482712241, 0.011664089549840542, 0.010924950773040527, -0.016872761170881642, 0.011258369698181864, 0.0061919920009713405, 0.039272678492325644, -0.015411902516516696, 0.03185415846499821, -0.023266082364840967, 0.014954524723408736, -0.038584386856284826, -0.042511699050842344, -0.008969609198211648, 0.03449289126994559, -0.0031195764002266064, -0.022594439920815165, 0.010022823241890823, -0.017810764948114587, -0.014087735249155034, 0.012983803960337891, -0.010414958048595761, -0.014410102712176054, 0.01908749101426608, -0.013527412232033829]"
NCT00268593,completed,,0,phase 2,['prostate cancer'],"[""['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']""]","['pi-88', 'docetaxel', 'prednisone']","['[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1', '[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C']","[0.23756950563179227, 0.057951795786441385, 0.08955572250900083, 0.008241837029673394, 0.005374899703019322, -0.018668029322611007, 0.0662222513391458, 0.048139634034087005, 0.014956544064206784, 0.010133226129354666, 0.059990768747080404, 0.04276604025373114, -0.012308031142101428, -0.011316132186354091, 0.023794069667076295, 0.051962927586368265, 0.029739788520033162, -0.015196581816637212, 0.007141696816371765, -0.06767938375474172, -0.015620461716448533, -0.027295094932449127, 0.02180123570907409, -0.010497743141396409, 0.10988806883328861, -0.08773542761504846, 0.13188260679795158, 0.031428658063952314, -0.04040694978902317, 0.1243843812856877, 0.01791870482824862, 0.00959350515404139, 0.006474950028534304, -0.015463317185233047, 0.02733205268649641, -0.04395326443901697, -0.023557746838043472, 0.01747899092143269, 0.011613221040813648, -0.00563026979959526, 0.03893086839967348, 0.057868600272620106, -0.0026430430440505088, -0.036200940297239095, -0.01736894913066652, 0.019765947599944496, -0.005696927048611408, -0.00019844610010692244, -0.003507834024201818, 0.006890600355385199]"
NCT00269412,completed,,1,phase 2,['irritable bowel syndrome'],"[""['K58.2', 'K58.8', 'K58.0', 'K58.1', 'K58.9']""]",['rifaximin'],['[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCCC(C)CC)[C@@H](C)O)[C@@H](C)O'],"[-0.09624582856659775, -0.14920447090013989, -0.030271975458164558, 0.01996976881486458, -0.022222349900926225, -0.0001667969209020709, 0.01133214516935593, 0.0037406885611601867, 0.011451166674418135, 0.02498465680148122, -0.021278953111051043, 0.0028742134113671964, -0.00764512573870296, -0.016475658306014378, -0.008379445583580242, 0.018189744677093507, 0.015739287094058235, -0.04209708413358717, 0.004731981945366217, 0.018214516528893145, 0.027985323718217638, -0.040410260536110285, 0.07620830667851333, 0.02246868288389536, 0.014271464392611732, -0.023415410817299514, -0.023477287781351903, 0.030953988175708085, 0.015880736738273223, -0.018794431544449437, 0.02150819288301777, 0.039606013504723495, -0.012698419455880258, 0.01224842714872566, -0.02261018840053186, -0.023935948737402145, 9.008593175090368e-05, -0.0163873093579237, -0.013862609974524967, 0.0044345645892398915, -0.026798191424042956, -0.039161190823196565, -0.0017063841295153416, 0.023083203891803083, -0.002278072781981236, -0.031009159481597937, -0.021767503101303456, 0.01822393816072975, 0.020805129568620327, 0.003306542709580338]"
NCT00269802,completed,,1,phase 3,['attention deficit hyperactivity disorder'],"[""['F90.2', 'F90.8', 'F90.9', 'F90.0', 'F90.1']""]","['oros methylphenidate hcl', 'ritalin', 'placebo']","['COC(=O)C(C1CCCCN1)C1=CC=CC=C1', 'COC(=O)C(C1CCCCN1)C1=CC=CC=C1', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","[-0.09606995149434686, -0.08686370677727301, 0.09035302917094025, 0.03717099568655201, 0.08804657134444169, -0.06530675178947538, -0.03879054906626982, 0.02571018758300811, 0.020229338927634493, -0.004055041947064736, -0.044317001015996185, 0.012126680346763733, 0.010153652238058196, -0.038176971864556306, 0.015673974945461938, 0.02064603437164046, -0.013723050884910173, 0.0037320161961750795, -0.007640253583173301, 0.007669625542104636, -0.029971667154494463, 0.011303164138070825, 0.011833206379939277, -0.013651101678754024, 0.034997414529055026, 0.039710246371829946, 0.026903326688559485, 0.04243755516824336, 0.03448541343422844, -0.012274228480548235, -0.006496304620129872, -0.023065717093557057, 0.01787228467611099, 0.007994088925301285, -0.02135433126291121, 0.012964193867428003, -0.0044907804466521204, -0.011684241195156663, -0.015333752906188602, -0.00032608515885592103, -0.0019384309095568375, -0.013343768109518211, 0.018956750697770124, -0.01277987530817093, 0.019422397040561572, -0.0209397435456573, 0.010501240468637135, -0.005976412354167392, 0.012149138571284265, 0.005020155880464462]"
NCT00273299,completed,,1,phase 3,['hypertension'],"[""['I15.0', 'I97.3', 'K76.6', 'P29.2', 'G93.2', 'H40.053', 'I10']""]",['valsartan plus hydrochlorothiazide'],['CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O'],"[-0.07775821529581566, -0.15375787725089246, -0.012372086200644455, -0.09344788639297244, -0.050426003145180295, 0.024692020881668157, -0.010870403067798125, 0.08718477648930065, 0.05365518604095497, 0.08410653901811718, -0.05112079022588334, -0.09523981905935956, 0.05153641848898486, -0.05484431264153143, 0.012251801971505827, -0.0390470267772236, 0.04313329934705239, -0.005815127249987916, 0.04201565376929969, 0.02512325301276792, 0.0322538863679991, 0.018391643467045103, -0.03183643737743416, -0.017070657449166728, 0.04175864308023679, -0.012978711442892737, 0.01280748267433723, 0.1465076762693695, 0.08885033904136555, -0.044295016854676135, -0.009477234251282041, 0.14580482158399644, 0.02135569144664001, 0.07148001273772224, 0.03625911150705855, -0.02415942432734187, -0.03629803789667648, 0.02710718028659833, -0.007913658397676198, -0.07538690370418091, 0.05831227911461416, 0.0728884349325895, -0.037312953084978395, -0.042175384415613706, 0.03954371000601719, 0.02888481159742191, -0.06510755096649264, 0.05465880849228662, 0.017582989969021856, -0.018836633813332917]"
