,studyid,trialOutcome,trialOutcome_label
168,NCT00003522,"Terminated, Poor enrollment",0
169,NCT00003524,"Terminated, Poor enrollment",0
170,NCT00003526,"Terminated, Poor enrollment",0
172,NCT00003530,"Terminated, Poor enrollment",0
173,NCT00003531,"Terminated, Poor enrollment",0
174,NCT00003532,"Terminated, Poor enrollment",0
175,NCT00003533,"Terminated, Poor enrollment",0
176,NCT00003534,"Terminated, Poor enrollment",0
183,NCT00003615,"Terminated, Poor enrollment",0
184,NCT00003617,"Terminated, Poor enrollment",0
191,NCT00003641,"Terminated, Lack of efficacy",0
193,NCT00003643,"Terminated, Poor enrollment",0
201,NCT00003679,"Completed, Negative outcome/primary endpoint(s) not met",0
210,NCT00003739,"Completed, Early positive outcome",1
218,NCT00003815,"Terminated, Poor enrollment",0
222,NCT00003849,"Terminated, Poor enrollment",0
241,NCT00003980,"Terminated, Lack of efficacy",0
248,NCT00004040,"Terminated, Poor enrollment",0
261,NCT00025259,"Completed, Negative outcome/primary endpoint(s) not met",0
271,NCT00025636,"Completed, Negative outcome/primary endpoint(s) not met",0
272,NCT00026117,"Terminated, Poor enrollment",0
284,NCT00027599,"Terminated, Lack of efficacy",0
285,NCT00027612,"Terminated, Lack of efficacy",0
286,NCT00027612,"Terminated, Safety/adverse effects",0
290,NCT00027833,"Completed, Positive outcome/primary endpoint(s) met",1
297,NCT00028717,"Completed, Early positive outcome",1
299,NCT00028756,"Terminated, Poor enrollment",0
301,NCT00028886,"Completed, Positive outcome/primary endpoint(s) met",1
313,NCT00030758,"Completed, Positive outcome/primary endpoint(s) met",1
314,NCT00030771,"Terminated, Lack of efficacy",0
318,NCT00030888,"Terminated, Lack of efficacy",0
329,NCT00031629,"Completed, Positive outcome/primary endpoint(s) met",1
337,NCT00032045,"Terminated, Safety/adverse effects",0
346,NCT00033254,"Terminated, Lack of efficacy",0
352,NCT00033683,"Completed, Negative outcome/primary endpoint(s) not met",0
355,NCT00034125,"Terminated, Lack of efficacy",0
357,NCT00034203,"Terminated, Lack of efficacy",0
358,NCT00034268,"Terminated, Lack of efficacy",0
359,NCT00034268,"Terminated, Safety/adverse effects",0
361,NCT00034333,"Terminated, Lack of efficacy",0
363,NCT00034476,"Terminated, Lack of efficacy",0
364,NCT00034502,"Terminated, Lack of efficacy",0
370,NCT00034788,"Terminated, Poor enrollment",0
379,NCT00035360,"Terminated, Poor enrollment",0
387,NCT00035971,"Terminated, Poor enrollment",0
396,NCT00036660,"Terminated, Safety/adverse effects",0
399,NCT00036816,"Terminated, Poor enrollment",0
404,NCT00037128,"Terminated, Poor enrollment",0
406,NCT00037557,"Completed, Positive outcome/primary endpoint(s) met",1
410,NCT00038051,"Completed, Negative outcome/primary endpoint(s) not met",0
411,NCT00038142,"Terminated, Poor enrollment",0
422,NCT00038532,"Terminated, Poor enrollment",0
426,NCT00038610,"Completed, Positive outcome/primary endpoint(s) met",1
432,NCT00038792,"Terminated, Poor enrollment",0
440,NCT00039039,"Terminated, Poor enrollment",0
446,NCT00039364,"Completed, Negative outcome/primary endpoint(s) not met",0
451,NCT00039546,"Completed, Negative outcome/primary endpoint(s) not met",0
456,NCT00040144,"Terminated, Safety/adverse effects",0
457,NCT00040157,"Terminated, Safety/adverse effects",0
461,NCT00040326,"Terminated, Poor enrollment",0
464,NCT00040534,"Terminated, Safety/adverse effects",0
474,NCT00041106,"Completed, Negative outcome/primary endpoint(s) not met",0
484,NCT00041613,"Completed, Positive outcome/primary endpoint(s) met",1
487,NCT00041730,"Completed, Positive outcome/primary endpoint(s) met",1
493,NCT00042406,"Terminated, Lack of efficacy",0
515,NCT00044070,"Terminated, Lack of efficacy",0
518,NCT00044525,"Completed, Positive outcome/primary endpoint(s) met",1
525,NCT00045032,"Completed, Positive outcome/primary endpoint(s) met",1
531,NCT00045604,"Terminated, Lack of efficacy",0
536,NCT00045721,"Terminated, Poor enrollment",0
537,NCT00045760,"Terminated, Lack of efficacy",0
538,NCT00045760,"Terminated, Safety/adverse effects",0
546,NCT00046709,"Terminated, Poor enrollment",0
547,NCT00046748,"Completed, Positive outcome/primary endpoint(s) met",1
549,NCT00046813,"Terminated, Lack of efficacy",0
553,NCT00046904,"Terminated, Poor enrollment",0
561,NCT00047541,"Completed, Positive outcome/primary endpoint(s) met",1
565,NCT00047762,"Terminated, Safety/adverse effects",0
566,NCT00047775,"Completed, Early positive outcome",1
570,NCT00048100,"Terminated, Poor enrollment",0
571,NCT00048165,"Completed, Positive outcome/primary endpoint(s) met",1
579,NCT00048724,"Completed, Negative outcome/primary endpoint(s) not met",0
588,NCT00049322,"Completed, Positive outcome/primary endpoint(s) met",1
594,NCT00049530,"Completed, Positive outcome/primary endpoint(s) met",1
602,NCT00049842,"Completed, Negative outcome/primary endpoint(s) not met",0
611,NCT00050375,"Terminated, Lack of efficacy",0
615,NCT00050713,"Terminated, Lack of efficacy",0
616,NCT00050713,"Terminated, Safety/adverse effects",0
619,NCT00050778,"Completed, Positive outcome/primary endpoint(s) met",1
623,NCT00051077,"Terminated, Poor enrollment",0
630,NCT00051467,"Terminated, Lack of efficacy",0
631,NCT00051480,"Completed, Positive outcome/primary endpoint(s) met",1
635,NCT00051662,"Completed, Negative outcome/primary endpoint(s) not met",0
641,NCT00052130,"Terminated, Lack of efficacy",0
642,NCT00052156,"Terminated, Lack of efficacy",0
643,NCT00052195,"Terminated, Lack of efficacy",0
675,NCT00053872,"Completed, Positive outcome/primary endpoint(s) met",1
676,NCT00053898,"Completed, Positive outcome/primary endpoint(s) met",1
689,NCT00054535,"Terminated, Lack of efficacy",0
690,NCT00054574,"Terminated, Lack of efficacy",0
693,NCT00054704,"Terminated, Lack of efficacy",0
694,NCT00054834,"Terminated, Poor enrollment",0
695,NCT00054899,"Completed, Positive outcome/primary endpoint(s) met",1
697,NCT00055198,"Terminated, Poor enrollment",0
698,NCT00055432,"Terminated, Poor enrollment",0
700,NCT00055562,"Terminated, Lack of efficacy",0
716,NCT00056498,"Completed, Positive outcome/primary endpoint(s) met",1
718,NCT00056550,"Completed, Positive outcome/primary endpoint(s) met",1
719,NCT00056797,"Terminated, Lack of efficacy",0
720,NCT00056797,"Terminated, Poor enrollment",0
725,NCT00057330,"Completed, Negative outcome/primary endpoint(s) not met",0
727,NCT00057382,"Terminated, Lack of efficacy",0
738,NCT00057967,"Completed, Positive outcome/primary endpoint(s) met",1
740,NCT00058097,"Terminated, Lack of efficacy",0
741,NCT00058123,"Completed, Negative outcome/primary endpoint(s) not met",0
745,NCT00058266,"Terminated, Poor enrollment",0
751,NCT00058526,"Completed, Positive outcome/primary endpoint(s) met",1
755,NCT00058825,"Terminated, Poor enrollment",0
756,NCT00058981,"Terminated, Lack of efficacy",0
758,NCT00059605,"Completed, Positive outcome/primary endpoint(s) met",1
765,NCT00060294,"Terminated, Poor enrollment",0
775,NCT00060801,"Terminated, Safety/adverse effects",0
778,NCT00061022,"Completed, Negative outcome/primary endpoint(s) not met",0
779,NCT00061126,"Terminated, Lack of efficacy",0
785,NCT00061425,"Completed, Positive outcome/primary endpoint(s) met",1
789,NCT00061776,"Completed, Negative outcome/primary endpoint(s) not met",0
800,NCT00062114,"Terminated, Poor enrollment",0
811,NCT00062647,"Completed, Positive outcome/primary endpoint(s) met",1
814,NCT00062699,"Terminated, Poor enrollment",0
835,NCT00064194,"Completed, Negative outcome/primary endpoint(s) not met",0
841,NCT00064363,"Terminated, Lack of efficacy",0
846,NCT00064714,"Completed, Negative outcome/primary endpoint(s) not met",0
848,NCT00064987,"Terminated, Poor enrollment",0
854,NCT00065442,"Completed, Positive outcome/primary endpoint(s) met",1
861,NCT00066196,"Completed, Negative outcome/primary endpoint(s) not met",0
872,NCT00066690,"Completed, Positive outcome/primary endpoint(s) met",1
887,NCT00067730,"Terminated, Poor enrollment",0
888,NCT00067912,"Completed, Negative outcome/primary endpoint(s) not met",0
889,NCT00067990,"Completed, Negative outcome/primary endpoint(s) not met",0
890,NCT00068081,"Completed, Negative outcome/primary endpoint(s) not met",0
892,NCT00068107,"Completed, Positive outcome/primary endpoint(s) met",1
893,NCT00068250,"Completed, Positive outcome/primary endpoint(s) met",1
901,NCT00068419,"Completed, Positive outcome/primary endpoint(s) met",1
904,NCT00068510,"Completed, Positive outcome/primary endpoint(s) met",1
907,NCT00068601,"Completed, Positive outcome/primary endpoint(s) met",1
909,NCT00068692,"Completed, Positive outcome/primary endpoint(s) met",1
913,NCT00068952,"Terminated, Lack of efficacy",0
940,NCT00070564,"Terminated, Lack of efficacy",0
941,NCT00070642,"Terminated, Lack of efficacy",0
943,NCT00070707,"Terminated, Poor enrollment",0
949,NCT00071266,"Terminated, Safety/adverse effects",0
953,NCT00071552,"Terminated, Poor enrollment",0
954,NCT00071695,"Completed, Negative outcome/primary endpoint(s) not met",0
962,NCT00071981,"Completed, Negative outcome/primary endpoint(s) not met",0
963,NCT00072020,"Completed, Negative outcome/primary endpoint(s) not met",0
964,NCT00072046,"Completed, Negative outcome/primary endpoint(s) not met",0
976,NCT00072449,"Terminated, Poor enrollment",0
977,NCT00072462,"Completed, Positive outcome/primary endpoint(s) met",1
980,NCT00072605,"Completed, Positive outcome/primary endpoint(s) met",1
983,NCT00072943,"Completed, Negative outcome/primary endpoint(s) not met",0
988,NCT00073164,"Completed, Negative outcome/primary endpoint(s) not met",0
992,NCT00073372,"Terminated, Safety/adverse effects",0
994,NCT00073398,"Completed, Positive outcome/primary endpoint(s) met",1
995,NCT00073450,"Terminated, Lack of efficacy",0
996,NCT00073463,"Terminated, Lack of efficacy",0
1006,NCT00074074,"Completed, Negative outcome/primary endpoint(s) not met",0
1009,NCT00074152,"Terminated, Poor enrollment",0
1016,NCT00074477,"Completed, Positive outcome/primary endpoint(s) met",1
1017,NCT00074490,"Terminated, Poor enrollment",0
1018,NCT00074542,"Terminated, Lack of efficacy",0
1019,NCT00074581,"Completed, Positive outcome/primary endpoint(s) met",1
1024,NCT00074906,"Terminated, Lack of efficacy",0
1025,NCT00074958,"Completed, Positive outcome/primary endpoint(s) met",1
1026,NCT00074984,"Completed, Positive outcome/primary endpoint(s) met",1
1027,NCT00074997,"Completed, Negative outcome/primary endpoint(s) not met",0
1028,NCT00075049,"Completed, Positive outcome/primary endpoint(s) met",1
1029,NCT00075179,"Terminated, Poor enrollment",0
1043,NCT00075842,"Completed, Negative outcome/primary endpoint(s) not met",0
1048,NCT00076063,"Terminated, Safety/adverse effects",0
1057,NCT00076609,"Completed, Positive outcome/primary endpoint(s) met",1
1059,NCT00076804,"Terminated, Lack of efficacy",0
1061,NCT00076999,"Completed, Positive outcome/primary endpoint(s) met",1
1066,NCT00077168,"Terminated, Poor enrollment",0
1067,NCT00077220,"Terminated, Poor enrollment",0
1073,NCT00077389,"Completed, Positive outcome/primary endpoint(s) met",1
1080,NCT00077818,"Terminated, Lack of efficacy",0
1081,NCT00077818,"Terminated, Poor enrollment",0
1083,NCT00077870,"Completed, Positive outcome/primary endpoint(s) met",1
1108,NCT00079027,"Terminated, Poor enrollment",0
1111,NCT00079092,"Terminated, Lack of efficacy",0
1122,NCT00079742,"Completed, Positive outcome/primary endpoint(s) met",1
1123,NCT00079755,"Completed, Positive outcome/primary endpoint(s) met",1
1128,NCT00080002,"Terminated, Lack of efficacy",0
1132,NCT00080223,"Completed, Positive outcome/primary endpoint(s) met",1
1133,NCT00080275,"Completed, Positive outcome/primary endpoint(s) met",1
1146,NCT00081250,"Completed, Negative outcome/primary endpoint(s) not met",0
1154,NCT00081653,"Completed, Positive outcome/primary endpoint(s) met",1
1155,NCT00081731,"Terminated, Poor enrollment",0
1162,NCT00081926,"Completed, Positive outcome/primary endpoint(s) met",1
1166,NCT00082212,"Terminated, Lack of efficacy",0
1168,NCT00082316,"Completed, Positive outcome/primary endpoint(s) met",1
1170,NCT00082459,"Terminated, Poor enrollment",0
1171,NCT00082472,"Completed, Negative outcome/primary endpoint(s) not met",0
1175,NCT00082823,"Completed, Positive outcome/primary endpoint(s) met",1
1184,NCT00083447,"Terminated, Lack of efficacy",0
1191,NCT00083720,"Completed, Negative outcome/primary endpoint(s) not met",0
1195,NCT00083928,"Terminated, Poor enrollment",0
1196,NCT00083941,"Completed, Positive outcome/primary endpoint(s) met",1
1202,NCT00084071,"Completed, Negative outcome/primary endpoint(s) not met",0
1203,NCT00084084,"Completed, Positive outcome/primary endpoint(s) met",1
1204,NCT00084136,"Completed, Positive outcome/primary endpoint(s) met",1
1205,NCT00084266,"Completed, Positive outcome/primary endpoint(s) met",1
1216,NCT00084656,"Completed, Positive outcome/primary endpoint(s) met",1
1220,NCT00085059,"Terminated, Poor enrollment",0
1222,NCT00085254,"Completed, Positive outcome/primary endpoint(s) met",1
1226,NCT00085384,"Terminated, Lack of efficacy",0
1229,NCT00085436,"Completed, Positive outcome/primary endpoint(s) met",1
1234,NCT00085644,"Completed, Positive outcome/primary endpoint(s) met",1
1238,NCT00085761,"Completed, Early positive outcome",1
1242,NCT00085956,"Completed, Positive outcome/primary endpoint(s) met",1
1248,NCT00086580,"Completed, Positive outcome/primary endpoint(s) met",1
1251,NCT00086684,"Terminated, Lack of efficacy",0
1255,NCT00086866,"Completed, Positive outcome/primary endpoint(s) met",1
1257,NCT00086957,"Terminated, Lack of efficacy",0
1258,NCT00086957,"Terminated, Poor enrollment",0
1260,NCT00087009,"Terminated, Poor enrollment",0
1261,NCT00087022,"Completed, Negative outcome/primary endpoint(s) not met",0
1267,NCT00087178,"Completed, Negative outcome/primary endpoint(s) not met",0
1278,NCT00087490,"Completed, Positive outcome/primary endpoint(s) met",1
1282,NCT00087581,"Completed, Positive outcome/primary endpoint(s) met",1
1283,NCT00087620,"Terminated, Poor enrollment",0
1284,NCT00087633,"Completed, Positive outcome/primary endpoint(s) met",1
1286,NCT00087685,"Completed, Positive outcome/primary endpoint(s) met",1
1291,NCT00087789,"Completed, Positive outcome/primary endpoint(s) met",1
1304,NCT00088270,"Terminated, Lack of efficacy",0
1305,NCT00088283,"Completed, Positive outcome/primary endpoint(s) met",1
1306,NCT00088400,"Terminated, Lack of efficacy",0
1309,NCT00088491,"Completed, Positive outcome/primary endpoint(s) met",1
1318,NCT00088660,"Terminated, Lack of efficacy",0
1319,NCT00088699,"Completed, Negative outcome/primary endpoint(s) not met",0
1320,NCT00088790,"Terminated, Safety/adverse effects",0
1335,NCT00089115,"Terminated, Lack of efficacy",0
1339,NCT00089245,"Completed, Positive outcome/primary endpoint(s) met",1
1352,NCT00089713,"Terminated, Lack of efficacy",0
1354,NCT00089778,"Terminated, Poor enrollment",0
1370,NCT00090220,"Completed, Positive outcome/primary endpoint(s) met",1
1372,NCT00090285,"Completed, Positive outcome/primary endpoint(s) met",1
1375,NCT00090480,"Terminated, Poor enrollment",0
1378,NCT00090532,"Terminated, Lack of efficacy",0
1380,NCT00090649,"Completed, Negative outcome/primary endpoint(s) not met",0
1385,NCT00090714,"Terminated, Lack of efficacy",0
1396,NCT00091234,"Completed, Positive outcome/primary endpoint(s) met",1
1398,NCT00091312,"Terminated, Poor enrollment",0
1405,NCT00091676,"Terminated, Poor enrollment",0
1408,NCT00091832,"Completed, Positive outcome/primary endpoint(s) met",1
1409,NCT00091845,"Terminated, Poor enrollment",0
1410,NCT00091949,"Completed, Positive outcome/primary endpoint(s) met",1
1414,NCT00092443,"Completed, Positive outcome/primary endpoint(s) met",1
1431,NCT00093470,"Completed, Positive outcome/primary endpoint(s) met",1
1455,NCT00094549,"Completed, Positive outcome/primary endpoint(s) met",1
1456,NCT00094653,"Completed, Positive outcome/primary endpoint(s) met",1
1467,NCT00095329,"Terminated, Poor enrollment",0
1476,NCT00095771,"Completed, Positive outcome/primary endpoint(s) met",1
1489,NCT00096044,"Completed, Positive outcome/primary endpoint(s) met",1
1499,NCT00096291,"Completed, Negative outcome/primary endpoint(s) not met",0
1514,NCT00096980,"Completed, Positive outcome/primary endpoint(s) met",1
1520,NCT00097383,"Terminated, Lack of efficacy",0
1536,NCT00098085,"Completed, Positive outcome/primary endpoint(s) met",1
1544,NCT00098475,"Completed, Early positive outcome",1
1555,NCT00098813,"Terminated, Poor enrollment",0
1556,NCT00098813,"Terminated, Safety/adverse effects",0
1571,NCT00099281,"Terminated, Lack of efficacy",0
1583,NCT00099983,"Completed, Negative outcome/primary endpoint(s) not met",0
1593,NCT00100659,"Completed, Positive outcome/primary endpoint(s) met",1
1595,NCT00100737,"Terminated, Lack of efficacy",0
1599,NCT00100854,"Completed, Positive outcome/primary endpoint(s) met",1
1603,NCT00100984,"Terminated, Poor enrollment",0
1604,NCT00101010,"Completed, Positive outcome/primary endpoint(s) met",1
1626,NCT00102128,"Terminated, Lack of efficacy",0
1635,NCT00102531,"Completed, Positive outcome/primary endpoint(s) met",1
1638,NCT00102648,"Completed, Positive outcome/primary endpoint(s) met",1
1642,NCT00102882,"Completed, Positive outcome/primary endpoint(s) met",1
1645,NCT00102947,"Terminated, Poor enrollment",0
1660,NCT00103506,"Completed, Negative outcome/primary endpoint(s) not met",0
1662,NCT00103584,"Completed, Positive outcome/primary endpoint(s) met",1
1684,NCT00104741,"Terminated, Poor enrollment",0
1687,NCT00104780,"Completed, Positive outcome/primary endpoint(s) met",1
1694,NCT00104949,"Terminated, Poor enrollment",0
1698,NCT00105053,"Completed, Positive outcome/primary endpoint(s) met",1
1701,NCT00105183,"Completed, Negative outcome/primary endpoint(s) not met",0
1704,NCT00105300,"Completed, Positive outcome/primary endpoint(s) met",1
1705,NCT00105313,"Terminated, Safety/adverse effects",0
1717,NCT00106145,"Completed, Positive outcome/primary endpoint(s) met",1
1718,NCT00106171,"Completed, Positive outcome/primary endpoint(s) met",1
1721,NCT00106379,"Completed, Positive outcome/primary endpoint(s) met",1
1724,NCT00106496,"Completed, Positive outcome/primary endpoint(s) met",1
1728,NCT00106691,"Completed, Negative outcome/primary endpoint(s) not met",0
1729,NCT00106834,"Completed, Positive outcome/primary endpoint(s) met",1
1730,NCT00106847,"Completed, Positive outcome/primary endpoint(s) met",1
1731,NCT00107172,"Completed, Negative outcome/primary endpoint(s) not met",0
1732,NCT00107198,"Completed, Positive outcome/primary endpoint(s) met",1
1733,NCT00107237,"Terminated, Safety/adverse effects",0
1743,NCT00107536,"Completed, Negative outcome/primary endpoint(s) not met",0
1744,NCT00107653,"Completed, Positive outcome/primary endpoint(s) met",1
1745,NCT00107718,"Terminated, Lack of efficacy",0
1749,NCT00108069,"Terminated, Lack of efficacy",0
1750,NCT00108069,"Terminated, Poor enrollment",0
1752,NCT00108108,"Terminated, Lack of efficacy",0
1753,NCT00108108,"Terminated, Poor enrollment",0
1757,NCT00108433,"Terminated, Poor enrollment",0
1759,NCT00108706,"Completed, Negative outcome/primary endpoint(s) not met",0
1763,NCT00108862,"Completed, Negative outcome/primary endpoint(s) not met",0
1768,NCT00109083,"Completed, Negative outcome/primary endpoint(s) not met",0
1771,NCT00109161,"Completed, Positive outcome/primary endpoint(s) met",1
1773,NCT00109343,"Completed, Positive outcome/primary endpoint(s) met",1
1793,NCT00109941,"Terminated, Safety/adverse effects",0
1801,NCT00110279,"Completed, Positive outcome/primary endpoint(s) met",1
1803,NCT00110448,"Completed, Negative outcome/primary endpoint(s) not met",0
1805,NCT00110500,"Completed, Positive outcome/primary endpoint(s) met",1
1806,NCT00110513,"Completed, Positive outcome/primary endpoint(s) met",1
1807,NCT00110526,"Terminated, Poor enrollment",0
1808,NCT00110630,"Completed, Positive outcome/primary endpoint(s) met",1
1809,NCT00110708,"Completed, Negative outcome/primary endpoint(s) not met",0
1811,NCT00110942,"Completed, Negative outcome/primary endpoint(s) not met",0
1814,NCT00111111,"Completed, Positive outcome/primary endpoint(s) met",1
1815,NCT00111124,"Completed, Positive outcome/primary endpoint(s) met",1
1821,NCT00111657,"Completed, Positive outcome/primary endpoint(s) met",1
1826,NCT00111891,"Completed, Positive outcome/primary endpoint(s) met",1
1828,NCT00112034,"Completed, Negative outcome/primary endpoint(s) not met",0
1830,NCT00112073,"Completed, Negative outcome/primary endpoint(s) not met",0
1831,NCT00112112,"Completed, Positive outcome/primary endpoint(s) met",1
1837,NCT00112502,"Completed, Negative outcome/primary endpoint(s) not met",0
1839,NCT00112580,"Completed, Negative outcome/primary endpoint(s) not met",0
1842,NCT00112632,"Completed, Positive outcome/primary endpoint(s) met",1
1852,NCT00112931,"Completed, Positive outcome/primary endpoint(s) met",1
1861,NCT00113282,"Completed, Negative outcome/primary endpoint(s) not met",0
1873,NCT00113620,"Completed, Positive outcome/primary endpoint(s) met",1
1879,NCT00113828,"Terminated, Poor enrollment",0
1885,NCT00113984,"Completed, Positive outcome/primary endpoint(s) met",1
1890,NCT00114205,"Completed, Positive outcome/primary endpoint(s) met",1
1891,NCT00114218,"Terminated, Lack of efficacy",0
1900,NCT00114465,"Completed, Negative outcome/primary endpoint(s) not met",0
1905,NCT00114933,"Completed, Positive outcome/primary endpoint(s) met",1
1906,NCT00114946,"Terminated, Lack of efficacy",0
1907,NCT00114946,"Terminated, Poor enrollment",0
1909,NCT00115076,"Completed, Positive outcome/primary endpoint(s) met",1
1910,NCT00115115,"Completed, Positive outcome/primary endpoint(s) met",1
1913,NCT00115453,"Terminated, Poor enrollment",0
1914,NCT00115492,"Completed, Positive outcome/primary endpoint(s) met",1
1921,NCT00115700,"Completed, Positive outcome/primary endpoint(s) met",1
1926,NCT00116129,"Completed, Negative outcome/primary endpoint(s) not met",0
1935,NCT00116532,"Completed, Positive outcome/primary endpoint(s) met",1
1936,NCT00116571,"Terminated, Lack of efficacy",0
1943,NCT00116909,"Terminated, Lack of efficacy",0
1953,NCT00117377,"Completed, Positive outcome/primary endpoint(s) met",1
1956,NCT00117611,"Completed, Positive outcome/primary endpoint(s) met",1
1957,NCT00117650,"Completed, Negative outcome/primary endpoint(s) not met",0
1959,NCT00117702,"Terminated, Safety/adverse effects",0
1960,NCT00117884,"Terminated, Lack of efficacy",0
1962,NCT00117975,"Completed, Positive outcome/primary endpoint(s) met",1
1972,NCT00118248,"Terminated, Poor enrollment",0
1980,NCT00118742,"Completed, Positive outcome/primary endpoint(s) met",1
1982,NCT00118768,"Terminated, Safety/adverse effects",0
1986,NCT00119015,"Completed, Negative outcome/primary endpoint(s) not met",0
1988,NCT00119210,"Terminated, Poor enrollment",0
1992,NCT00119600,"Terminated, Lack of efficacy",0
2000,NCT00120328,"Terminated, Safety/adverse effects",0
2001,NCT00120380,"Terminated, Lack of efficacy",0
2009,NCT00120835,"Terminated, Safety/adverse effects",0
2010,NCT00120874,"Completed, Positive outcome/primary endpoint(s) met",1
2014,NCT00121108,"Completed, Positive outcome/primary endpoint(s) met",1
2022,NCT00121420,"Completed, Positive outcome/primary endpoint(s) met",1
2023,NCT00121615,"Completed, Positive outcome/primary endpoint(s) met",1
2027,NCT00121745,"Terminated, Lack of efficacy",0
2028,NCT00121745,"Terminated, Poor enrollment",0
2029,NCT00121758,"Completed, Positive outcome/primary endpoint(s) met",1
2030,NCT00121784,"Terminated, Lack of efficacy",0
2031,NCT00121810,"Completed, Positive outcome/primary endpoint(s) met",1
2046,NCT00122668,"Terminated, Lack of efficacy",0
2047,NCT00122681,"Completed, Positive outcome/primary endpoint(s) met",1
2048,NCT00122811,"Completed, Early positive outcome",1
2060,NCT00123305,"Completed, Positive outcome/primary endpoint(s) met",1
2062,NCT00123331,"Completed, Positive outcome/primary endpoint(s) met",1
2069,NCT00123903,"Terminated, Poor enrollment",0
2071,NCT00123942,"Terminated, Safety/adverse effects",0
2073,NCT00124176,"Completed, Negative outcome/primary endpoint(s) not met",0
2076,NCT00124332,"Completed, Negative outcome/primary endpoint(s) not met",0
2077,NCT00124384,"Completed, Positive outcome/primary endpoint(s) met",1
2080,NCT00124618,"Completed, Positive outcome/primary endpoint(s) met",1
2083,NCT00124748,"Completed, Positive outcome/primary endpoint(s) met",1
2084,NCT00124891,"Terminated, Lack of efficacy",0
2090,NCT00125164,"Completed, Positive outcome/primary endpoint(s) met",1
2091,NCT00125190,"Completed, Positive outcome/primary endpoint(s) met",1
2092,NCT00125307,"Completed, Positive outcome/primary endpoint(s) met",1
2094,NCT00125359,"Completed, Positive outcome/primary endpoint(s) met",1
2098,NCT00125567,"Completed, Positive outcome/primary endpoint(s) met",1
2099,NCT00125593,"Completed, Positive outcome/primary endpoint(s) met",1
2107,NCT00126217,"Terminated, Lack of efficacy",0
2108,NCT00126217,"Terminated, Safety/adverse effects",0
2109,NCT00126230,"Terminated, Lack of efficacy",0
2113,NCT00126269,"Terminated, Poor enrollment",0
2117,NCT00126490,"Terminated, Poor enrollment",0
2124,NCT00126607,"Terminated, Poor enrollment",0
2127,NCT00126724,"Completed, Positive outcome/primary endpoint(s) met",1
2135,NCT00127049,"Completed, Positive outcome/primary endpoint(s) met",1
2146,NCT00127803,"Completed, Positive outcome/primary endpoint(s) met",1
2148,NCT00127842,"Completed, Positive outcome/primary endpoint(s) met",1
2150,NCT00127933,"Completed, Positive outcome/primary endpoint(s) met",1
2157,NCT00128492,"Completed, Positive outcome/primary endpoint(s) met",1
2161,NCT00128661,"Completed, Positive outcome/primary endpoint(s) met",1
2164,NCT00128791,"Terminated, Lack of efficacy",0
2165,NCT00128817,"Terminated, Poor enrollment",0
2167,NCT00128908,"Terminated, Poor enrollment",0
2169,NCT00128999,"Terminated, Safety/adverse effects",0
2170,NCT00129090,"Completed, Negative outcome/primary endpoint(s) not met",0
2172,NCT00129155,"Completed, Negative outcome/primary endpoint(s) not met",0
2181,NCT00129532,"Terminated, Lack of efficacy",0
